"month_year","complaint_type","rank","cantidad_reclamos"
"2013-02",Street Light Condition,6,7304
"2013-02",PAINT - PLASTER,7,6697
"2013-02",Traffic Signal Condition,8,4426
"2013-02",Blocked Driveway,9,4232
"2013-02",NONCONST,10,3595
"2013-03",HEATING,1,20627
"2013-03",Noise - Residential,2,12689
"2013-03",GENERAL CONSTRUCTION,3,9288
"2013-03",Street Condition,4,9126
"2013-03",Street Light Condition,5,7497
"2013-03",PLUMBING,6,7291
"2013-03",PAINT - PLASTER,7,6647
"2013-03",Blocked Driveway,8,4523
"2013-03",Traffic Signal Condition,9,3880
"2013-03",NONCONST,10,3783
"2013-04",HEATING,1,12147
"2013-04",Noise - Residential,2,11907
"2013-04",GENERAL CONSTRUCTION,3,9247
"2013-04",Street Light Condition,4,8514
"2013-04",Street Condition,5,7181
"2013-04",PLUMBING,6,6683
"2013-04",PAINT - PLASTER,7,6431
"2013-04",Blocked Driveway,8,4301
"2013-04",NONCONST,9,4213
"2013-04",General Construction/Plumbing,10,3954
"2013-05",Noise - Residential,1,14867
"2013-05",GENERAL CONSTRUCTION,2,9743
"2013-05",Street Light Condition,3,8183
"2013-05",PLUMBING,4,7090
"2013-05",Street Condition,5,6714
"2013-05",PAINT - PLASTER,6,6308
"2013-05",HEATING,7,5526
"2013-05",Blocked Driveway,8,4587
"2013-05",NONCONST,9,4379
"2013-05",Sewer,10,4122
"2013-06",Noise - Residential,1,14059
"2013-06",GENERAL CONSTRUCTION,2,8938
"2013-06",PLUMBING,3,7280
"2013-06",Street Light Condition,4,7239
"2013-06",Street Condition,5,7161
"2013-06",Literature Request,6,6996
"2013-06",PAINT - PLASTER,7,6722
"2013-06",Water System,8,5653
"2013-06",Blocked Driveway,9,4847
"2013-06",NONCONST,10,4413
"2013-07",Water System,1,13526
"2013-07",Noise - Residential,2,11024
"2013-07",GENERAL CONSTRUCTION,3,10291
"2013-07",PLUMBING,4,7936
"2013-07",PAINT - PLASTER,5,7414
"2013-07",Street Light Condition,6,6980
"2013-07",Literature Request,7,6842
"2013-07",Street Condition,8,6460
"2013-07",NONCONST,9,5883
"2013-07",Blocked Driveway,10,4478
"2013-08",Noise - Residential,1,14390
"2013-08",GENERAL CONSTRUCTION,2,9453
"2013-08",Street Light Condition,3,7322
"2013-08",PLUMBING,4,6664
"2013-08",PAINT - PLASTER,5,6537
"2013-08",NONCONST,6,5569
"2013-08",Street Condition,7,4967
"2013-08",Blocked Driveway,8,4402
"2013-08",Noise - Street/Sidewalk,9,4238
"2013-08",Illegal Parking,10,3971
"2013-09",Noise - Residential,1,13526
"2013-09",GENERAL CONSTRUCTION,2,8248
"2013-09",Street Light Condition,3,7505
"2013-09",PLUMBING,4,6061
"2013-09",PAINT - PLASTER,5,5648
"2013-09",NONCONST,6,4993
"2013-09",Blocked Driveway,7,4882
"2013-09",Street Condition,8,4562
"2013-09",Illegal Parking,9,4055
"2013-09",General Construction/Plumbing,10,3741
"2013-10",HEATING,1,14915
"2013-10",Noise - Residential,2,12005
"2013-10",GENERAL CONSTRUCTION,3,8997
"2013-10",Street Light Condition,4,8457
"2013-10",PLUMBING,5,6574
"2013-10",PAINT - PLASTER,6,6308
"2013-10",Blocked Driveway,7,5436
"2013-10",NONCONST,8,4954
"2013-10",Noise,9,4467
"2013-10",Street Condition,10,4297
"2013-11",HEATING,1,35295
"2013-11",Noise - Residential,2,12383
"2013-11",GENERAL CONSTRUCTION,3,8528
"2013-11",Street Light Condition,4,7525
"2013-11",PLUMBING,5,6751
"2013-11",PAINT - PLASTER,6,5635
"2013-11",Blocked Driveway,7,5444
"2013-11",Traffic Signal Condition,8,4593
"2013-11",NONCONST,9,3863
"2013-11",Broken Muni Meter,10,3519
"2013-12",HEATING,1,32756
"2013-12",Noise - Residential,2,12402
"2013-12",GENERAL CONSTRUCTION,3,8438
"2013-12",Street Light Condition,4,8063
